,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
81,8d_27n_bimodaldist_5383632878623994333seed_6,92.0,0.92,100.0,0.0
82,8d_27n_bimodaldist_6884504801837919660seed_11,108.0,0.8709677419354839,124.0,0.0
83,8d_27n_bimodaldist_4305231380630737110seed_21,100.0,0.8620689655172413,116.0,0.0
84,8d_27n_bimodaldist_5911410237390193276seed_22,100.0,0.925925925925926,108.0,0.0
85,8d_28n_bimodaldist_4836672375174606656seed_8,100.0,0.925925925925926,108.0,0.0
86,24d_27n_bimodaldist_4386570832421977760seed_14,152.0,0.8260869565217391,184.0,0.0
87,24d_27n_bimodaldist_1453984986562532430seed_15,160.0,0.9090909090909092,176.0,0.0
88,24d_27n_bimodaldist_8925779657540980769seed_16,168.0,0.875,192.0,0.0
89,24d_27n_bimodaldist_5265888400319552857seed_23,160.0,0.9090909090909092,176.0,0.0
90,24d_28n_bimodaldist_6149784823713127742seed_1,180.0,0.8181818181818182,220.0,0.0
91,24d_28n_bimodaldist_8883739981122894314seed_2,164.0,0.9111111111111112,180.0,0.0
92,24d_28n_bimodaldist_731277224379137840seed_3,164.0,0.8723404255319149,188.0,0.0
93,24d_28n_bimodaldist_7162145476752635028seed_18,172.0,0.9148936170212766,188.0,0.0
94,24d_28n_bimodaldist_5692875333335217020seed_20,164.0,0.9111111111111112,180.0,0.0
95,24d_30n_bimodaldist_3754417105855463945seed_4,168.0,0.875,192.0,0.0
96,24d_30n_bimodaldist_1026191978233709790seed_7,168.0,0.875,192.0,0.0
97,24d_30n_bimodaldist_1127259818468492248seed_14,184.0,0.92,200.0,0.0
98,8d_29n_bimodaldist_6972344097916187603seed_1,104.0,0.8666666666666667,120.0,0.0
99,8d_29n_bimodaldist_6689322844440994741seed_10,104.0,0.9285714285714286,112.0,0.0
100,8d_29n_bimodaldist_6490708145126421084seed_11,96.0,0.9230769230769232,104.0,0.0
101,8d_29n_bimodaldist_4932610047080097322seed_15,104.0,0.9285714285714286,112.0,0.0
102,8d_29n_bimodaldist_8851450777917631803seed_17,104.0,0.9285714285714286,112.0,0.0
103,8d_30n_bimodaldist_4306601283599508479seed_4,120.0,0.9375,128.0,0.0
104,8d_30n_bimodaldist_7292769045899891582seed_6,112.0,0.9333333333333332,120.0,0.0
105,8d_30n_bimodaldist_535020197384036399seed_8,120.0,0.9375,128.0,0.0
106,8d_30n_bimodaldist_6380413532051967761seed_17,104.0,0.9285714285714286,112.0,0.0
107,8d_30n_bimodaldist_1377214110592345727seed_18,104.0,0.8666666666666667,120.0,0.0
108,9d_14n_bimodaldist_6521568326543502506seed_0,54.0,0.8709677419354839,62.0,0.0
109,9d_16n_bimodaldist_8470790783783088098seed_2,60.0,0.9375,64.0,0.0
110,9d_16n_bimodaldist_831882350270401961seed_4,52.0,0.8666666666666667,60.0,0.0
111,9d_16n_bimodaldist_4113934620629225543seed_23,60.0,0.9375,64.0,0.0
112,9d_18n_bimodaldist_8750444896477729380seed_0,70.0,0.8536585365853658,82.0,0.0
113,9d_18n_bimodaldist_5341067785860178365seed_9,62.0,0.9393939393939394,66.0,0.0
114,9d_18n_bimodaldist_1643117077511442845seed_14,58.0,0.935483870967742,62.0,0.0
115,9d_20n_bimodaldist_5824681362550537519seed_0,68.0,0.8947368421052632,76.0,0.0
116,9d_20n_bimodaldist_8835036010101442837seed_1,76.0,0.8260869565217391,92.0,0.0
117,9d_22n_bimodaldist_2379052214922730018seed_17,82.0,0.9111111111111112,90.0,0.0
118,9d_22n_bimodaldist_1769496439789802589seed_24,90.0,0.9183673469387756,98.0,0.0
119,9d_24n_bimodaldist_5824269399392532589seed_4,88.0,0.9166666666666666,96.0,0.0
120,9d_24n_bimodaldist_8160325110102590442seed_9,100.0,0.8928571428571429,112.0,0.0
121,9d_24n_bimodaldist_8158609606486209290seed_24,84.0,0.9130434782608696,92.0,0.0
122,9d_26n_bimodaldist_5556110232408549283seed_9,106.0,0.9298245614035088,114.0,0.0
123,9d_26n_bimodaldist_2997780423275381963seed_17,90.0,0.8823529411764706,102.0,0.0
124,9d_30n_bimodaldist_3683373902287558735seed_7,122.0,0.9384615384615383,130.0,0.0
125,9d_30n_bimodaldist_3263913806296392523seed_12,130.0,0.9154929577464788,142.0,0.0
126,10d_15n_bimodaldist_7125427367951956543seed_2,50.0,0.8620689655172413,58.0,0.0
127,10d_16n_bimodaldist_6964234613888081945seed_16,64.0,0.8888888888888888,72.0,0.0
128,10d_18n_bimodaldist_8759365483353870065seed_9,64.0,0.8888888888888888,72.0,0.0
129,10d_18n_bimodaldist_2155953475061289542seed_14,72.0,0.9,80.0,0.0
130,10d_18n_bimodaldist_5454638415445258094seed_21,64.0,0.8888888888888888,72.0,0.0
131,10d_19n_bimodaldist_3632556965917915492seed_10,66.0,0.8918918918918919,74.0,0.0
132,10d_19n_bimodaldist_7977166128844221789seed_12,74.0,0.902439024390244,82.0,0.0
133,10d_19n_bimodaldist_4093919364571110076seed_15,74.0,0.902439024390244,82.0,0.0
134,10d_20n_bimodaldist_2219882849101667683seed_6,80.0,0.9090909090909092,88.0,0.0
135,10d_20n_bimodaldist_9085833588365934378seed_10,88.0,0.9166666666666666,96.0,0.0
136,10d_20n_bimodaldist_7656841331708275638seed_17,80.0,0.9090909090909092,88.0,0.0
137,10d_21n_bimodaldist_2987662404595957659seed_15,86.0,0.9148936170212766,94.0,0.0
138,10d_22n_bimodaldist_6661885944391706806seed_0,92.0,0.92,100.0,0.0
139,10d_22n_bimodaldist_2271513492777920847seed_9,84.0,0.9130434782608696,92.0,0.0
140,10d_22n_bimodaldist_4013095434919439905seed_17,92.0,0.92,100.0,0.0
141,10d_22n_bimodaldist_4919619222473539629seed_22,84.0,0.9130434782608696,92.0,0.0
142,10d_23n_bimodaldist_8437774216777058203seed_1,86.0,0.9148936170212766,94.0,0.0
143,10d_23n_bimodaldist_256415298328483054seed_21,94.0,0.9215686274509804,102.0,0.0
144,10d_24n_bimodaldist_5358593758117970881seed_8,96.0,0.9230769230769232,104.0,0.0
145,10d_24n_bimodaldist_7893358281792037986seed_10,96.0,0.9230769230769232,104.0,0.0
146,10d_24n_bimodaldist_1212413602533105221seed_17,96.0,0.9230769230769232,104.0,0.0
147,10d_24n_bimodaldist_6302236869428942796seed_20,88.0,0.9166666666666666,96.0,0.0
148,10d_25n_bimodaldist_8303385580249966797seed_4,102.0,0.9272727272727272,110.0,0.0
149,10d_25n_bimodaldist_1636457254785092961seed_7,94.0,0.9215686274509804,102.0,0.0
150,10d_25n_bimodaldist_4471025257810765772seed_21,102.0,0.9272727272727272,110.0,0.0
151,10d_25n_bimodaldist_3744607946476185794seed_22,102.0,0.9272727272727272,110.0,0.0
152,10d_26n_bimodaldist_3282588415542008011seed_1,100.0,0.925925925925926,108.0,0.0
153,10d_26n_bimodaldist_2179812883085779410seed_9,100.0,0.925925925925926,108.0,0.0
154,10d_26n_bimodaldist_3108044158740602593seed_12,108.0,0.9310344827586208,116.0,0.0
155,10d_26n_bimodaldist_7829467816517157667seed_14,116.0,0.935483870967742,124.0,0.0
156,10d_26n_bimodaldist_4980911169840555600seed_21,92.0,0.8518518518518519,108.0,0.0
157,10d_26n_bimodaldist_5780770661389163043seed_22,108.0,0.9310344827586208,116.0,0.0
158,10d_27n_bimodaldist_832929956990706899seed_0,110.0,0.9322033898305084,118.0,0.0
