Seed,Degree,Nodes,Distribution,Graph_Name,RQAOA_0_2pi_N2000,Gurobi_Exact,Approx_Ratio,RQAOA_ANG,RQAOA_zs
610970793617572870,9,14,gaussian,9d_14n_gaussiandist_610970793617572870seed_16,39.52078911,45.17272839,0.8748816048,"[0.17907078 0.36259366 0.16650441 0.34797891 0.17907078 0.33750565
 0.17907078 0.33924368 0.19477874 0.34115471 0.19792034 0.33202344]",[-1  1  1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1]
4443235282525831861,9,20,gaussian,9d_20n_gaussiandist_4443235282525831861seed_17,61.08749546,66.49122696,0.9187301582,"[0.17907078 0.3773118  0.17592919 0.37815453 0.18221237 0.3701936
 0.169646   0.3564551  0.17592919 0.36112163 0.18535397 0.35276489
 0.18221237 0.34092551 0.17907078 0.33706543 0.19163715 0.354102
 0.19477874 0.36229128 0.17592919 0.3493582  0.17592919 0.34113819]",[-1 -1  1  1 -1 -1  1  1  1 -1  1  1  1  1 -1  1 -1  1 -1  1]
3358500883987028790,9,26,gaussian,9d_26n_gaussiandist_3358500883987028790seed_15,90.73957954,99.72435085,0.9099039379,"[0.17592919 0.38997206 0.1727876  0.39032624 0.17592919 0.37950153
 0.17592919 0.38081646 0.17592919 0.38118233 0.1727876  0.38102339
 0.169646   0.38364214 0.169646   0.37977579 0.169646   0.37352142
 0.16650441 0.37083454 0.16336282 0.37729482 0.16336282 0.38717802
 0.16022123 0.38472947 0.15079645 0.38623026 0.13823008 0.3771297
 0.14451326 0.3813274  0.14137167 0.36367399 0.15079645 0.35259176]","[-1  1 -1 -1 -1 -1  1 -1 -1 -1  1 -1 -1  1 -1  1 -1 -1 -1 -1  1 -1  1  1
 -1  1]"
3639009937359364799,9,28,gaussian,9d_28n_gaussiandist_3639009937359364799seed_16,103.149747,109.3423077,0.9433653739,"[0.17907078 0.38706162 0.18221237 0.3911716  0.17592919 0.38669559
 0.18535397 0.38502112 0.17907078 0.37998698 0.18221237 0.38303761
 0.17907078 0.38181594 0.17907078 0.37900584 0.17907078 0.38561699
 0.16650441 0.37749701 0.16022123 0.37292638 0.16650441 0.3797732
 0.14765485 0.36461725 0.14765485 0.36582415 0.14451326 0.36320746
 0.17592919 0.37760781 0.17907078 0.37900059 0.18535397 0.38235949
 0.16650441 0.36273862 0.23247786 0.39093254]","[-1 -1  1 -1  1  1 -1  1  1 -1 -1 -1  1  1  1 -1  1 -1  1  1 -1 -1 -1 -1
 -1  1 -1  1]"
4219529328806926761,9,28,gaussian,9d_28n_gaussiandist_4219529328806926761seed_20,99.88810102,105.7069563,0.9449529578,"[0.17907078 0.39359337 0.17907078 0.39174389 0.17907078 0.38880362
 0.1727876  0.38425527 0.17592919 0.38918403 0.169646   0.38272745
 0.17907078 0.38909988 0.17907078 0.39150895 0.1727876  0.39119359
 0.17592919 0.39735274 0.1727876  0.38855515 0.169646   0.37740678
 0.16650441 0.36781786 0.16650441 0.36453146 0.16650441 0.35744003
 0.16650441 0.33278345 0.16650441 0.33548368 0.16022123 0.3308704
 0.18221237 0.34468375 0.17592919 0.32300104]","[-1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1  1  1  1  1 -1  1 -1  1 -1  1 -1  1
 -1 -1  1 -1]"
5164609296641316394,9,30,gaussian,9d_30n_gaussiandist_5164609296641316394seed_2,110.5584145,117.5181278,0.940777534,"[0.18221237 0.3896483  0.18221237 0.38651188 0.18849556 0.38850884
 0.18535397 0.38475358 0.18535397 0.3852216  0.18535397 0.38497816
 0.18849556 0.3839256  0.18849556 0.38835771 0.18849556 0.37793998
 0.18849556 0.37501919 0.19477874 0.38049914 0.18849556 0.37730812
 0.17907078 0.37399611 0.18535397 0.37492948 0.18849556 0.38173986
 0.17592919 0.37697328 0.18535397 0.38468091 0.17592919 0.40040379
 0.16022123 0.3809486  0.16650441 0.37268393 0.169646   0.33830454
 0.18221237 0.33635156]","[-1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1  1  1  1 -1 -1  1 -1
  1 -1 -1 -1 -1 -1]"
6994844030777267454,10,15,gaussian,10d_15n_gaussiandist_6994844030777267454seed_23,44.79223654,50.98962254,0.878457896,"[0.16650441 0.37297713 0.15707963 0.35546811 0.14765485 0.34600467
 0.15079645 0.35058673 0.16336282 0.36372862 0.17592919 0.34781291
 0.17592919 0.34970341]",[-1 -1  1  1  1 -1 -1  1 -1 -1  1 -1 -1 -1 -1]
3238957227471767889,10,16,gaussian,10d_16n_gaussiandist_3238957227471767889seed_23,61.18460768,67.71316917,0.9035850549,"[0.169646   0.39909503 0.169646   0.40221823 0.16650441 0.39577
 0.14765485 0.38124935 0.169646   0.38432741 0.1727876  0.39488067
 0.15393804 0.38154927 0.16022123 0.3769537 ]",[-1 -1 -1  1  1  1  1 -1  1 -1  1  1 -1  1 -1 -1]
8951676500103348342,10,18,gaussian,10d_18n_gaussiandist_8951676500103348342seed_6,58.83369365,64.89307833,0.9066251003,"[0.1727876  0.37916786 0.17907078 0.3722365  0.169646   0.36028506
 0.169646   0.36373554 0.169646   0.36672609 0.16336282 0.35482314
 0.17592919 0.36909064 0.1727876  0.36301619 0.18849556 0.37485792
 0.1727876  0.35706232]",[-1  1 -1 -1  1 -1 -1  1 -1  1 -1  1 -1  1 -1 -1 -1 -1]
4062182954294990048,10,18,gaussian,10d_18n_gaussiandist_4062182954294990048seed_11,69.41536874,74.08411024,0.9369805281,"[0.169646   0.39396716 0.1727876  0.39337435 0.16650441 0.38039943
 0.169646   0.37824146 0.169646   0.37968071 0.15393804 0.37680455
 0.15079645 0.36453712 0.15707963 0.34847326 0.14451326 0.36033437
 0.13823008 0.36205491]",[-1  1  1  1  1  1  1  1 -1 -1 -1  1  1 -1  1  1  1 -1]
612657179318101728,10,23,gaussian,10d_23n_gaussiandist_612657179318101728seed_8,81.37897747,86.9488977,0.9359403009,"[0.1727876  0.38290504 0.1727876  0.38489692 0.1727876  0.38090791
 0.18221237 0.38847759 0.17907078 0.3874846  0.1727876  0.37639626
 0.16650441 0.36852634 0.16022123 0.36310823 0.16022123 0.36540882
 0.16022123 0.35385026 0.16650441 0.35537366 0.16022123 0.35952547
 0.15393804 0.35074891 0.16650441 0.35739715 0.17592919 0.3843053 ]",[-1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1  1 -1]
3326124386779600665,10,24,gaussian,10d_24n_gaussiandist_3326124386779600665seed_17,83.10156195,99.11718927,0.838417257,"[0.17592919 0.39105268 0.17592919 0.38663813 0.17592919 0.3824176
 0.1727876  0.37920337 0.1727876  0.37592499 0.16650441 0.36760253
 0.169646   0.36578578 0.16650441 0.36598929 0.16650441 0.36740423
 0.16022123 0.36223474 0.15707963 0.36492685 0.16022123 0.3629675
 0.1288053  0.33485472 0.22305308 0.38975703 0.19477874 0.36511203
 0.24190263 0.39847725]",[-1 -1 -1 -1 -1  1  1 -1  1  1 -1 -1  1  1 -1 -1  1  1  1 -1 -1 -1 -1 -1]
7041512418121772436,10,25,gaussian,10d_25n_gaussiandist_7041512418121772436seed_13,94.32222775,100.1925298,0.9414097831,"[0.169646   0.38710638 0.16650441 0.37881606 0.169646   0.38407298
 0.169646   0.38416092 0.16650441 0.38145046 0.16336282 0.38220573
 0.15393804 0.37367145 0.15079645 0.37431257 0.14765485 0.3723017
 0.13194689 0.36774361 0.12566371 0.36521323 0.12566371 0.34805265
 0.17592919 0.37465407 0.18535397 0.38284193 0.16650441 0.36798521
 0.19477874 0.37247861 0.19163715 0.37196145]","[-1  1  1  1  1  1 -1 -1  1 -1  1 -1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1
 -1]"
8863403720638865750,10,27,gaussian,10d_27n_gaussiandist_8863403720638865750seed_8,95.85615231,105.7471045,0.9064659762,"[0.169646   0.38480104 0.169646   0.38514664 0.169646   0.38214492
 0.1727876  0.37756954 0.1727876  0.37701901 0.169646   0.37373008
 0.16650441 0.37426449 0.16650441 0.37521567 0.16336282 0.37227917
 0.15707963 0.36751156 0.16022123 0.36521918 0.16336282 0.36573163
 0.15393804 0.35929069 0.16022123 0.36366891 0.16336282 0.36542328
 0.16650441 0.37073177 0.16336282 0.36723048 0.16022123 0.36159115
 0.16022123 0.36411809]","[-1  1 -1  1  1 -1 -1  1  1 -1 -1 -1 -1  1 -1  1 -1  1 -1  1 -1 -1  1 -1
 -1  1  1]"
8224810051801399209,10,27,gaussian,10d_27n_gaussiandist_8224810051801399209seed_18,91.99219652,105.8936285,0.8687226778,"[0.169646   0.38827541 0.16650441 0.38757404 0.16650441 0.38700474
 0.16336282 0.38351233 0.16022123 0.38367992 0.16336282 0.3758356
 0.16336282 0.36859091 0.16022123 0.36812252 0.16336282 0.37330403
 0.16022123 0.37451401 0.16022123 0.37145461 0.15707963 0.36306609
 0.15707963 0.36009623 0.15707963 0.36036118 0.14451326 0.33725589
 0.14765485 0.33141915 0.13823008 0.30681612 0.22619467 0.33195317
 0.20734512 0.31099871]","[-1 -1  1 -1  1  1  1  1  1  1 -1  1 -1  1  1 -1  1 -1 -1  1  1  1  1  1
  1 -1  1]"
2942363936982763625,10,28,gaussian,10d_28n_gaussiandist_2942363936982763625seed_1,107.3861273,113.3813449,0.9471234214,"[0.1727876  0.39056586 0.1727876  0.39028677 0.1727876  0.38947964
 0.169646   0.388068   0.169646   0.3867487  0.1727876  0.38709557
 0.169646   0.38675868 0.16650441 0.3814706  0.16650441 0.37871326
 0.16336282 0.38145292 0.16022123 0.38341144 0.15707963 0.38326597
 0.16336282 0.38485617 0.15393804 0.37792815 0.169646   0.36694157
 0.169646   0.36488013 0.17592919 0.3655958  0.21676989 0.36867073
 0.2136283  0.37385464 0.20106193 0.3559623 ]","[-1 -1 -1 -1  1  1  1  1 -1  1  1  1 -1 -1  1  1 -1 -1  1 -1 -1 -1  1  1
  1  1 -1  1]"
6885215162483208961,10,29,gaussian,10d_29n_gaussiandist_6885215162483208961seed_4,103.8546509,113.9344122,0.9115301414,"[0.169646   0.38979711 0.1727876  0.39295215 0.169646   0.39085033
 0.16650441 0.38890907 0.16336282 0.37936867 0.16336282 0.38185469
 0.15393804 0.37604034 0.16022123 0.37667181 0.16650441 0.37067455
 0.16336282 0.36567394 0.16336282 0.36457932 0.16022123 0.36264502
 0.16022123 0.36382911 0.15707963 0.35831621 0.15707963 0.34750649
 0.14451326 0.34163391 0.15393804 0.33785726 0.15707963 0.3374307
 0.15707963 0.33791748 0.18849556 0.35632286 0.23876104 0.37409996]","[-1  1 -1 -1  1  1 -1 -1  1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1  1 -1
  1  1  1  1  1]"
3487449469591925108,10,29,gaussian,10d_29n_gaussiandist_3487449469591925108seed_24,99.36003107,107.9567517,0.9203688469,"[0.169646   0.38760302 0.169646   0.38472202 0.16650441 0.38402007
 0.16650441 0.38050234 0.169646   0.38253302 0.169646   0.37794665
 0.16650441 0.3770697  0.169646   0.37793947 0.169646   0.37643667
 0.16650441 0.36703161 0.15707963 0.35993096 0.16336282 0.36057029
 0.169646   0.3586691  0.16022123 0.35163531 0.169646   0.34994411
 0.169646   0.33803343 0.16650441 0.3427431  0.14451326 0.32741215
 0.19477874 0.35790518 0.18535397 0.33459711 0.20420352 0.32229421]","[-1 -1 -1  1 -1 -1  1 -1 -1  1  1  1  1 -1  1 -1  1 -1  1 -1  1  1 -1  1
  1 -1  1  1  1]"
